study,run,suite,source_kind,variant,cores,parallelism,pass,status,input_rate,input_unit,output_rate,output_unit,elapsed_s,tm_cores,tm_cap_frac,tm_throttled_pct,kafka_cores,kafka_cap,kafka_cap_frac,gc_frac,gc_ms,tm_memory_config,broker_limit_hits,broker_refaults,broker_file_cache_bytes,broker_limit_bytes,busy_frac,backpressure_frac,source_idle,max_task_backpressured,vantage_disagreement,headroom_s,checkpoint_ms,build,started_at,source_file,notes
step,step-10,catchup,transcribed,laptop uncapped,,1,,,153846,orders/s,,,52,,,,,,,,,,,,,,1.00,0.36,,,,,11,,2026-08-24T14:16:22Z,docs/steps/step-10/catchup.txt,8M-order backlog drained with producer stopped; busy and back-pressure are peaks
step,step-10,catchup,transcribed,laptop uncapped,,2,,,166666,orders/s,,,48,,,,,,,,,,,,,,1.00,0.47,,,,,41,,2026-08-24T14:16:22Z,docs/steps/step-10/catchup.txt,8M-order backlog drained with producer stopped; busy and back-pressure are peaks
step,step-10,catchup,transcribed,laptop uncapped,,4,,,173913,orders/s,,,46,,,,,,,,,,,,,,1.00,0.66,,,,,78,,2026-08-24T14:16:22Z,docs/steps/step-10/catchup.txt,8M-order backlog drained with producer stopped; busy and back-pressure are peaks
step,step-10,paired,transcribed,4M backlog,1,1,,,148148,orders/s,,,27,,,,,,,,,,,,,,,0.42,,,,,,,2026-08-24T14:36:19Z,docs/steps/step-10/paired.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired,transcribed,4M backlog,2,2,,,190476,orders/s,,,21,,,,,,,,,,,,,,,0.52,,,,,,,2026-08-24T14:36:19Z,docs/steps/step-10/paired.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired,transcribed,4M backlog,4,4,,,173913,orders/s,,,23,,,,,,,,,,,,,,,0.87,,,,,,,2026-08-24T14:36:19Z,docs/steps/step-10/paired.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-1v2-1,transcribed,12M backlog,1,1,,,157894,orders/s,,,76,,,,,,,,,,,,,,,0.48,,,,,,,2026-08-25T09:34:07Z,docs/steps/step-10/paired-1v2-1.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-1v2-1,transcribed,12M backlog,2,2,,,193548,orders/s,,,62,,,,,,,,,,,,,,,0.59,,,,,,,2026-08-25T09:34:07Z,docs/steps/step-10/paired-1v2-1.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-1v2-2,transcribed,12M backlog,1,1,,,166666,orders/s,,,72,,,,,,,,,,,,,,,0.47,,,,,,,2026-08-25T09:40:10Z,docs/steps/step-10/paired-1v2-2.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-big1,transcribed,12M backlog,2,2,,,200000,orders/s,,,60,,,,,,,,,,,,,,,0.53,,,,,,,2026-08-25T09:10:23Z,docs/steps/step-10/paired-big1.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-big1,transcribed,12M backlog,4,4,,,181818,orders/s,,,66,,,,,,,,,,,,,,,0.80,,,,,,,2026-08-25T09:10:23Z,docs/steps/step-10/paired-big1.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-big2,transcribed,12M backlog,2,2,,,206896,orders/s,,,58,,,,,,,,,,,,,,,0.54,,,,,,,2026-08-25T09:16:14Z,docs/steps/step-10/paired-big2.txt,cores = partitions = parallelism; back-pressure is peak
